# charactristic, type, id, mat1, mat2, tmat, weight, delta
d8524022ed8dff4a8dcc50c798faba43,32,0,8f7011ee,fc78ff1f,3793fdff,63,0
8ee476cb10b7c7e20dd10725924e9877,32,0,877810ef,fc38ff0f,c7fb7fff,63,0
8331a00cb24d95a8e116e35435103213,32,0,837c106f,fc18ff07,eeb9bdff,51,0
bc8ca81cb620b9610108b0fa2036f9ef,32,0,718e0e31,fb88fee3,11dbffff,57,0
97d57e00bc69e5ca2b9a5041d979eaff,32,0,50af0a15,fa80fea1,9ddc99ff,69,1
9548039aecf5d2636f59a3839312db73,32,0,14eb029d,f8a0fe29,46f3ebff,65,0
d0bf7b50aacb1427fbf1df22d056dccb,32,0,0bf4017e,f858fe17,e8cfecfd,71,1
c6c36866685b22bf45f4f9b8c1157c27,32,0,09f6013e,f848fe13,52a0f5ff,65,0
bf9deb420e0b6a6e9d654c6d6b070c5b,32,0,e51b1ca3,f720fdc9,f8ebffff,67,0
fdcab307613d53f7e7beced73a9bbf0f,32,0,ab55156a,f550fd55,6f33bd7f,81,0
a9e690ecff134aee4f8fc878ed1a61eb,32,0,946a128d,f4a8fd2b,feac77ff,71,0
acdbcdf98687829ae53fc5a1b5a9e48b,32,0,817f102f,f400fd01,90dbc3ff,69,0
ae4300c34a33c46091b6502e48839c8b,32,0,50ae0a15,f288fca3,dd2c73ff,51,0
cd3f104a97361addafa48acac288ef1b,32,0,19e7033c,f0c0fc31,55e7fd7d,65,0
de7e5e692c32e431bb11a1898b78ca97,32,0,0ef001de,f078fc1f,3ccef3ff,65,0
ca181f00100f6a498d29a2bf6e1f09bf,32,0,e9141d22,ef58fbd7,ff3f3edf,59,0
93e1ea2c2cdb211ac9df40611ec07d3f,32,0,d22f1a45,ee80fba1,90a5ffff,63,0
b7f0976dd4f418524b49b7690abaf5c7,32,0,b34e1669,ed88fb63,6f6e75ff,69,0
e3dcb4864ada014be378b1c6dd3b2b23,32,0,8c71118e,ec70fb1d,97eeff7f,65,0
9443129baa73b98c7b097ab82c074d03,32,0,65980cb3,eb38facf,cc3b75ff,59,0
a961bf295122c5a783711e16535533a3,32,0,35c806b9,e9b8fa6f,955737ff,61,0
9d27a78d99aac714e5d09c45d2b0a63f,32,0,a458148b,e538f94f,4fff79ff,65,0
bbaba7563119c9f52385988f8ca11f4b,32,0,817d102f,e410f905,8c3bff7f,65,0
975089fdbdf80dc8bbc142ed47293c67,32,0,17eb02fd,e0a0f829,cc503f7d,67,0
aa0ec4ba6cb7387756a902ddf373c3ef,32,0,e2191c43,df30f7cd,7bbdbffd,71,0
c972d433b1b2e6ca68bbd8397978b07f,32,0,ab50156a,dd78f75f,6b76efff,69,0
a5466fe79ed15d94fead156e1e465807,32,0,a259144b,dd30f74d,7c69dfff,69,0
846d272b2ce2bab0ba644d30c5d198c3,32,0,a55e14ab,dd08f743,dcdeffff,59,0
dd94d2071036f1e3fe92afeeb50eec43,32,0,9e6513cc,dcd0f735,636ef5ff,69,0
bc75bf149daf18f7844386c8756eae5f,32,0,9368126d,dcb8f72f,913edf7f,71,0
ced7441c04926844b682406fdce14d1f,32,0,6f940df2,db58f6d7,7dbf7bff,57,0
d2d9c9fa7e78e55366dcde10ef7a3e27,32,0,4bb00976,da78f69f,0c507bff,75,0
a543df4702f92cc7cee77323a907118b,32,0,37cc06f9,d998f667,e86775ff,65,0
d044b4602ee4d2fa221f2dd2a5110fab,32,0,0ff401fe,d858f617,f1be37fd,59,0
cf5b7ad8ec258ce26e2c4f3addbb8927,32,0,bf4517e8,d5d0f575,a64371ff,71,0
c014b91d2dcbff19aac7fa06a7d0df93,32,0,8c76118e,d448f513,bf68ff7f,69,0
ba5c11ffc03872df82d411cbd1ad9707,32,0,877d10ef,d410f505,a8af6bff,65,0
c8feeaf75905026cb015d76c78227447,32,0,7b810f70,d3f0f4fd,940d6fff,63,0
