{16#8f7011ee, 16#fc78ff1f, 16#3793fdff}.
{16#877810ef, 16#fc38ff0f, 16#c7fb7fff}.
{16#837c106f, 16#fc18ff07, 16#eeb9bdff}.
{16#718e0e31, 16#fb88fee3, 16#11dbffff}.
{16#50af0a15, 16#fa80fea1, 16#9ddc99ff}.
{16#14eb029d, 16#f8a0fe29, 16#46f3ebff}.
{16#0bf4017e, 16#f858fe17, 16#e8cfecfd}.
{16#09f6013e, 16#f848fe13, 16#52a0f5ff}.
{16#e51b1ca3, 16#f720fdc9, 16#f8ebffff}.
{16#ab55156a, 16#f550fd55, 16#6f33bd7f}.
{16#946a128d, 16#f4a8fd2b, 16#feac77ff}.
{16#817f102f, 16#f400fd01, 16#90dbc3ff}.
{16#50ae0a15, 16#f288fca3, 16#dd2c73ff}.
{16#19e7033c, 16#f0c0fc31, 16#55e7fd7d}.
{16#0ef001de, 16#f078fc1f, 16#3ccef3ff}.
{16#e9141d22, 16#ef58fbd7, 16#ff3f3edf}.
{16#d22f1a45, 16#ee80fba1, 16#90a5ffff}.
{16#b34e1669, 16#ed88fb63, 16#6f6e75ff}.
{16#8c71118e, 16#ec70fb1d, 16#97eeff7f}.
{16#65980cb3, 16#eb38facf, 16#cc3b75ff}.
{16#35c806b9, 16#e9b8fa6f, 16#955737ff}.
{16#a458148b, 16#e538f94f, 16#4fff79ff}.
{16#817d102f, 16#e410f905, 16#8c3bff7f}.
{16#17eb02fd, 16#e0a0f829, 16#cc503f7d}.
{16#e2191c43, 16#df30f7cd, 16#7bbdbffd}.
{16#ab50156a, 16#dd78f75f, 16#6b76efff}.
{16#a259144b, 16#dd30f74d, 16#7c69dfff}.
{16#a55e14ab, 16#dd08f743, 16#dcdeffff}.
{16#9e6513cc, 16#dcd0f735, 16#636ef5ff}.
{16#9368126d, 16#dcb8f72f, 16#913edf7f}.
{16#6f940df2, 16#db58f6d7, 16#7dbf7bff}.
{16#4bb00976, 16#da78f69f, 16#0c507bff}.
{16#37cc06f9, 16#d998f667, 16#e86775ff}.
{16#0ff401fe, 16#d858f617, 16#f1be37fd}.
{16#bf4517e8, 16#d5d0f575, 16#a64371ff}.
{16#8c76118e, 16#d448f513, 16#bf68ff7f}.
{16#877d10ef, 16#d410f505, 16#a8af6bff}.
{16#7b810f70, 16#d3f0f4fd, 16#940d6fff}.
{16#59a30b34, 16#d2e0f4b9, 16#e0095fff}.
{16#52a80a55, 16#d2b8f4af, 16#f9b3ff7f}.
{16#26dc04db, 16#d118f447, 16#4b3037ff}.
{16#bc451788, 16#cdd0f375, 16#7d1597ff}.
{16#a059140b, 16#cd30f34d, 16#dee02fff}.
{16#946d128d, 16#cc90f325, 16#72f01bff}.
{16#21d8043b, 16#c938f24f, 16#28933f7f}.
{16#d1291a25, 16#c6b0f1ad, 16#646afbff}.
{16#b9411728, 16#c5f0f17d, 16#5a6f73ff}.
{16#956d12ad, 16#c490f125, 16#68dfbfff}.
{16#8c74118e, 16#c458f117, 16#23bd75bf}.
{16#8f7711ee, 16#c440f111, 16#cbcbbbff}.
{16#61990c33, 16#c330f0cd, 16#e80fb5ff}.
{16#32ca0659, 16#c1a8f06b, 16#e025fbff}.
{16#ee191dc3, 16#bf30efcd, 16#6956fcff}.
{16#c53218a6, 16#be68ef9b, 16#adb0fbff}.
{16#7b8c0f71, 16#bb98eee7, 16#833a7aff}.
{16#47b008f6, 16#ba78ee9f, 16#154179ff}.
{16#36c106d8, 16#b9f0ee7d, 16#f7e5ebff}.
{16#12e5025c, 16#b8d0ee35, 16#e5ef9ffd}.
{16#fc0a1f81, 16#b7a8edeb, 16#59fe7d7f}.
{16#c73118e6, 16#b670ed9d, 16#2fabffff}.
{16#9365126c, 16#b4d0ed35, 16#14cebf7f}.
{16#5bad0b75, 16#b290eca5, 16#d4bf77ff}.
{16#41b70836, 16#b240ec91, 16#87a9e4fd}.
{16#26d004da, 16#b178ec5f, 16#08d3eeff}.
{16#16e002dc, 16#b0f8ec3f, 16#ad513d7f}.
{16#0afc015f, 16#b018ec07, 16#d6ff7bff}.
{16#e4111c82, 16#af70ebdd, 16#bfad7bff}.
{16#e3161c62, 16#af48ebd3, 16#45d5f7ff}.
{16#c1341826, 16#ae58eb97, 16#65223bff}.
{16#ce3b19c7, 16#ae20eb89, 16#40a77f7f}.
{16#699c0d33, 16#ab18eac7, 16#24ebf7ff}.
{16#47b208f6, 16#aa68ea9b, 16#adeabf5f}.
{16#48bd0917, 16#aa10ea85, 16#e5d3f3ff}.
{16#32c70658, 16#a9c0ea71, 16#33b737fd}.
{16#3dc807b9, 16#a9b8ea6f, 16#7deebdff}.
{16#3fca07f9, 16#a9a8ea6b, 16#452bbbff}.
{16#2bde057b, 16#a908ea43, 16#fba5ffff}.
{16#10e5021c, 16#a8d0ea35, 16#d08c6d7f}.
{16#e5111ca2, 16#a770e9dd, 16#96112f7f}.
{16#ea1e1d43, 16#a708e9c3, 16#cc5bf7ff}.
{16#d5211aa4, 16#a6f0e9bd, 16#cf95df7f}.
{16#d3271a64, 16#a6c0e9b1, 16#7d93c3ff}.
{16#c93d1927, 16#a610e985, 16#e87033ff}.
{16#b64216c8, 16#a5e8e97b, 16#918bfd5f}.
{16#63970c72, 16#a340e8d1, 16#01877dff}.
{16#53a70a74, 16#a2c0e8b1, 16#ef6bb5fd}.
{16#5da90bb5, 16#a2b0e8ad, 16#f5a7adff}.
{16#30c40618, 16#a1d8e877, 16#9acdfadf}.
{16#2fdb05fb, 16#a120e849, 16#3f1df7ff}.
{16#29dd053b, 16#a110e845, 16#abbb7edf}.
{16#1bef037d, 16#a080e821, 16#575efbff}.
{16#dc2f1b85, 16#9e80e7a1, 16#54fbedff}.
{16#a95a152b, 16#9d28e74b, 16#65b1afff}.
{16#ac5f158b, 16#9d00e741, 16#8f66ffff}.
{16#986b130d, 16#9ca0e729, 16#5d5bfdff}.
{16#29da053b, 16#9928e64b, 16#8d92b9ff}.
{16#f6041ec0, 16#97d8e5f7, 16#1e6b7dff}.
{16#df2d1be5, 16#9690e5a5, 16#8ddafbff}.
{16#bc4e1789, 16#9588e563, 16#7b9b7f7f}.
{16#9163122c, 16#94e0e539, 16#4bddecdf}.
{16#8a78114f, 16#9438e50f, 16#6b6df7ff}.
{16#57a50af4, 16#92d0e4b5, 16#0c5036df}.
{16#28da051b, 16#9128e44b, 16#593b75ff}.
{16#eb1a1d63, 16#8f28e3cb, 16#ffe737bf}.
{16#d1201a24, 16#8ef8e3bf, 16#04e6e7ff}.
{16#a455148a, 16#8d50e355, 16#3dbbeaff}.
{16#9c6d138d, 16#8c90e325, 16#eacdb7ff}.
{16#51a00a34, 16#8af8e2bf, 16#a31f7b7f}.
{16#4abb0957, 16#8a20e289, 16#f80b657f}.
{16#ef1f1de3, 16#8700e1c1, 16#b066abff}.
{16#c63618c6, 16#8648e193, 16#8872bdff}.
{16#c73718e6, 16#8640e191, 16#4157dfff}.
{16#cd3d19a7, 16#8610e185, 16#89cddfff}.
{16#8979112f, 16#8430e10d, 16#ebeae7ff}.
{16#74840e90, 16#83d8e0f7, 16#2cde5fff}.
{16#5eae0bd5, 16#8288e0a3, 16#bc93f7ff}.
{16#4ebe09d7, 16#8208e083, 16#706c5bff}.
{16#18e8031d, 16#80b8e02f, 16#f45feeff}.
{16#01f1003e, 16#8070e01d, 16#8fbdf9ff}.
{16#ef001de0, 16#7ff8dfff, 16#9d7fbbff}.
{16#fd121fa2, 16#7f68dfdb, 16#73f5fedf}.
{16#d33c1a67, 16#7e18df87, 16#902efdbf}.
{16#4ba40974, 16#7ad8deb7, 16#fbf6e5ff}.
{16#44ab0895, 16#7aa0dea9, 16#58477fff}.
{16#09e6013c, 16#78c8de33, 16#083f2dfd}.
{16#18f7031e, 16#7840de11, 16#4c5d7edf}.
{16#fb151f62, 16#7750ddd5, 16#687ffdff}.
{16#a74914e9, 16#75b0dd6d, 16#383ff5ff}.
{16#a44a1489, 16#75a8dd6b, 16#c1f3edff}.
{16#826c104d, 16#7498dd27, 16#7de7f7fd}.
{16#6c820d90, 16#73e8dcfb, 16#0ff5f6ff}.
{16#68860d10, 16#73c8dcf3, 16#9df1bbfd}.
{16#5bb50b76, 16#7250dc95, 16#a5afbdff}.
{16#f31e1e63, 16#6f08dbc3, 16#9ef07fff}.
{16#cd2019a4, 16#6ef8dbbf, 16#8ea2ffff}.
{16#ad4015a8, 16#6df8db7f, 16#5f8ffd7f}.
{16#a24f1449, 16#6d80db61, 16#cfef55bf}.
{16#739e0e73, 16#6b08dac3, 16#eb92fdfd}.
{16#43ae0875, 16#6a88daa3, 16#b0f7eb7f}.
{16#2bc60578, 16#69c8da73, 16#14d3bfff}.
{16#36db06db, 16#6920da49, 16#b47d9fff}.
{16#01ec003d, 16#6898da27, 16#31fb9fff}.
{16#1cf1039e, 16#6870da1d, 16#95d7defd}.
{16#c4281885, 16#66b8d9af, 16#f4bf2fbf}.
{16#d8341b06, 16#6658d997, 16#aaafaeff}.
{16#af4315e8, 16#65e0d979, 16#e93bafff}.
{16#9c70138e, 16#6478d91f, 16#30cf33ff}.
{16#4ca00994, 16#62f8d8bf, 16#496fb3ff}.
{16#d13a1a27, 16#5e28d78b, 16#69c7bfff}.
{16#b05b160b, 16#5d20d749, 16#90fbe3ff}.
{16#b55e16ab, 16#5d08d743, 16#f826fbff}.
{16#8c67118c, 16#5cc0d731, 16#c3b776df}.
{16#9873130e, 16#5c60d719, 16#fff3dbff}.
{16#9e7513ce, 16#5c50d715, 16#95d4dedf}.
{16#608b0c11, 16#5ba0d6e9, 16#e412feff}.
{16#769d0ed3, 16#5b10d6c5, 16#da995fff}.
{16#2ec505d8, 16#59d0d675, 16#1bbddf7f}.
{16#34df069b, 16#5900d641, 16#21436edf}.
{16#16fd02df, 16#5810d605, 16#ddbafffd}.
{16#ec061d80, 16#57c8d5f3, 16#d663ef7f}.
{16#e00a1c01, 16#57a8d5eb, 16#f8ab7fff}.
{16#db311b66, 16#5670d59d, 16#e247fdfd}.
{16#a8421508, 16#55e8d57b, 16#1aefbbfd}.
{16#ba50174a, 16#5578d55f, 16#e1bffcff}.
{16#8f6511ec, 16#54d0d535, 16#02eeb3ff}.
{16#806a100d, 16#54a8d52b, 16#9067fdff}.
{16#678d0cf1, 16#5390d4e5, 16#a7dffdff}.
{16#7b910f72, 16#5370d4dd, 16#3dffa7ff}.
{16#709a0e13, 16#5328d4cb, 16#ccc0f6fd}.
{16#4ba10974, 16#52f0d4bd, 16#5a19f5ff}.
{16#31db063b, 16#5120d449, 16#d7b19f7d}.
{16#e8011d00, 16#4ff0d3fd, 16#a957fdbf}.
{16#e60f1cc1, 16#4f80d3e1, 16#9afb7dff}.
{16#c8211904, 16#4ef0d3bd, 16#ac9eb9bf}.
{16#b55c16ab, 16#4d18d347, 16#085bfdff}.
{16#8069100d, 16#4cb0d32d, 16#c12dffff}.
{16#866f10cd, 16#4c80d321, 16#c92f8efd}.
{16#957c12af, 16#4c18d307, 16#81c22fff}.
{16#638a0c71, 16#4ba8d2eb, 16#b95edfff}.
{16#4aa30954, 16#4ae0d2b9, 16#95e6bd7f}.
{16#41a80835, 16#4ab8d2af, 16#2449afff}.
{16#58b10b16, 16#4a70d29d, 16#1fee75ff}.
{16#57be0af7, 16#4a08d283, 16#d873f3ff}.
{16#2dc405b8, 16#49d8d277, 16#19e85dfd}.
{16#33da067b, 16#4928d24b, 16#78ce6bff}.
{16#e8001d00, 16#47f8d1ff, 16#9e69e7ff}.
{16#a34b1469, 16#45a0d169, 16#df7ff9ff}.
{16#bf5717ea, 16#4540d151, 16#ae3fffff}.
{16#9078120f, 16#4438d10f, 16#e4ffb5ff}.
{16#58b00b16, 16#4278d09f, 16#6f4bef7f}.
{16#57bf0af7, 16#4200d081, 16#0e27fffd}.
{16#24cc0499, 16#4198d067, 16#db0f59fd}.
